COL;4096;(34.2, 4.3, 0.0);2
COL;4097;(34.2, 4.3, 0.0);2
COL;4098;(34.2, 4.3, 0.0);2
COL;4099;(34.2, 4.3, 0.0);2
COL;4100;(34.2, 4.3, 0.0);2
COL;4101;(34.2, 4.3, 0.0);2
COL;4102;(34.2, 4.3, 0.0);2
COL;4103;(34.2, 4.3, 0.0);2
COL;4104;(34.2, 4.3, 0.0);2
COL;4105;(34.2, 4.3, 0.0);2
COL;4106;(34.2, 4.3, 0.0);2
COL;4107;(34.2, 4.3, 0.0);2
COL;4108;(34.2, 4.3, 0.0);2
COL;4109;(34.2, 4.3, 0.0);2
COL;4110;(34.2, 4.3, 0.0);2
COL;4111;(34.2, 4.3, 0.0);2
COL;4112;(34.2, 4.3, 0.0);2
COL;4113;(34.2, 4.3, 0.0);2
COL;4114;(34.2, 4.3, 0.0);2
COL;4115;(34.2, 4.3, 0.0);2
COL;4116;(34.2, 4.3, 0.0);2
COL;4096;(21.4, 4.3, 0.0);2
COL;4097;(36.3, 4.3, 0.0);2
COL;4098;(36.3, 4.3, 0.0);2
COL;4099;(36.3, 4.3, 0.0);2
COL;4096;(38.5, 4.3, 0.0);2
COL;4097;(38.5, 4.3, 0.0);2
COL;4098;(17.1, 4.3, 0.0);2
COL;4096;(40.6, 2.1, 0.0);2
COL;4096;(36.3, 4.3, 0.0);2
COL;4097;(36.3, 4.3, 0.0);2
COL;4098;(36.3, 4.3, 0.0);2
COL;4099;(36.3, 4.3, 0.0);2
