63820919413748;COL;8193;(42.7, 4.3, 0.0);2
63820919416164;COL;8194;(41.0, 4.8, 0.0);2
63820919425206;COL;8195;(72.7, 32.1, 0.0);2
63820919433881;COL;8197;(59.8, 4.3, 0.0);2
63820919438627;COL;4096;(10.7, 32.1, 0.0);2
63820919439127;COL;4097;(25.6, 32.1, 0.0);2
63820919439927;COL;8198;(70.5, 4.3, 0.0);2
63820919443260;COL;8199;(62.0, 32.1, 0.0);2
63820919446467;COL;4098;(66.2, 32.1, 0.0);2
63820919447843;COL;4099;(66.2, 32.1, 0.0);2
63820919453167;COL;4100;(51.5, 6.7, 0.0);2
63820919458342;COL;4101;(53.4, 32.1, 0.0);2
63820919460585;COL;4102;(70.5, 32.1, 0.0);2
63820919461568;COL;4103;(38.5, 32.1, 0.0);2
63820919463127;COL;4104;(54.0, 4.8, 0.0);2
63820919464126;COL;8202;(52.4, 4.8, 0.0);2
63820919467126;COL;8203;(52.8, 4.8, 0.0);2
63820919469126;COL;8204;(52.7, 4.8, 0.0);2
63820919469167;COL;4105;(54.0, 4.8, 0.0);2
63820919471167;COL;4106;(54.0, 4.8, 0.0);2
63820919472168;COL;8205;(52.8, 4.8, 0.0);2
63820919485025;COL;8208;(25.6, 32.1, 0.0);2
63820919489767;COL;4109;(44.9, 32.1, 0.0);2
63820919491568;COL;4110;(55.6, 32.1, 0.0);2
63820919496726;COL;8210;(29.9, 32.1, 0.0);2
63820919500425;COL;4113;(106.9, 4.3, 0.0);2
63820919501442;COL;4114;(106.9, 4.3, 0.0);2
63820919506726;COL;8212;(42.7, 32.1, 0.0);2
63820919512726;COL;4115;(111.1, 32.1, 0.0);2
63820919513184;COL;8213;(47.0, 32.1, 0.0);2
63820919514726;COL;4116;(102.6, 32.1, 0.0);2
63820919516726;COL;4117;(115.4, 4.3, 0.0);2
63820919521567;COL;8215;(29.9, 4.3, 0.0);2
63820919528243;COL;8216;(4.3, 32.1, 0.0);2
63820919528767;COL;8217;(29.9, 4.3, 0.0);2
63820919529183;COL;4119;(87.6, 32.1, 0.0);2
