COL;4098;(29.9, 32.1, 0.0);2
COL;4102;(29.9, 32.1, 0.0);2
COL;8192;(89.8, 32.1, 0.0);2
COL;4103;(6.4, 32.1, 0.0);2
COL;4105;(32.1, 32.1, 0.0);2
COL;4106;(19.2, 32.1, 0.0);2
COL;4107;(34.2, 32.1, 0.0);2
COL;4109;(29.9, 4.3, 0.0);2
COL;4108;(25.6, 32.1, 0.0);2
COL;4110;(21.4, 32.1, 0.0);2
COL;4111;(12.8, 32.1, 0.0);2
COL;4112;(47.0, 32.1, 0.0);2
COL;4113;(29.9, 4.3, 0.0);2
COL;4114;(29.9, 4.3, 0.0);2
COL;4115;(4.3, 15.0, 0.0);2
COL;4116;(12.8, 32.1, 0.0);2
COL;4117;(4.3, 8.5, 0.0);2
COL;4118;(19.2, 32.1, 0.0);2
COL;4120;(4.3, 23.5, 0.0);2
COL;4121;(19.2, 32.1, 0.0);2
COL;4122;(42.7, 32.1, 0.0);2
COL;4123;(42.7, 32.1, 0.0);2
COL;4126;(17.1, 32.1, 0.0);2
COL;4130;(38.5, 4.3, 0.0);2
COL;4131;(19.2, 32.1, 0.0);2
COL;4133;(42.7, 32.1, 0.0);2
COL;4134;(38.5, 4.3, 0.0);2
COL;4135;(38.5, 4.3, 0.0);2
COL;4136;(55.6, 32.1, 0.0);2
COL;4137;(17.1, 32.1, 0.0);2
COL;4138;(47.0, 32.1, 0.0);2
COL;4139;(72.7, 32.1, 0.0);2
COL;4140;(55.6, 32.1, 0.0);2
COL;4143;(27.8, 32.1, 0.0);2
COL;4144;(55.6, 32.1, 0.0);2
COL;4147;(51.3, 4.3, 0.0);2
COL;4148;(51.3, 4.3, 0.0);2
COL;4149;(51.3, 4.3, 0.0);2
COL;4151;(68.4, 32.1, 0.0);2
COL;4152;(53.4, 32.1, 0.0);2
COL;4153;(62.0, 4.3, 0.0);2
COL;4154;(34.2, 32.1, 0.0);2
COL;4155;(70.5, 32.1, 0.0);2
COL;4156;(68.4, 32.1, 0.0);2
